original_name,suggested_db_id,description,size
0018d378a2cd4ad58fa8fcae42e8af9e,unknown_object,Unrecognizable or abstract object.,"""[3643.616, 545.472, 1124.819]"""
0019c537f5884ce08907a07e72bd3b64,wooden_handled_shears_01,"A pair of long-bladed shears featuring cylindrical wooden handles. The handles are connected to the metal blades via teal-colored ferrules. The blades are long, thin, and pointed, crossing at a central pivot point. The tool appears to be a gardening or crafting implement designed for precise cutting.","""[39.226, 57.590, 3.835]"""
001a994fe20b48739e18cf8a4e9d6fa7,pool_table_01,A wooden pool table featuring a blue felt playing surface. The table has a trapezoidal frame with sloping sides and is supported by angled legs. It is equipped with six pockets and is currently set up with a full rack of billiard balls and a cue ball.,"""[120.000, 61.894, 220.000]"""
001abb1a3f4c412fbd707239acb68cd6,sock_blue_white_pattern_01,"A 3D model of a crew sock featuring a blue and white pattern reminiscent of traditional porcelain designs. The sock has a solid dark blue cuff and toe, with the main body displaying a swirling, floral or wave-like motif in varying shades of blue and white. The interior lining matches the exterior pattern.","""[2.031, 5.893, 5.430]"""
001cfadfb9204424bccc45501ce6b90e,wooden_flower_cart_01,"A wooden wagon-style cart featuring a large spoked wheel at the rear and smaller wheels at the front. The cart has a rectangular wooden box body filled with a dense mound of green leafy vegetation. The vegetation is decorated with clusters of yellow and purple flowers, round pink fruits, and tall, thin orange structures resembling candles or stylized plants. Wooden handles extend from the front of the cart.","""[2.166, 1.611, 1.569]"""
001d1b57e9df4273bede948b26429429,plastic_bottle_blue_label,"A white plastic bottle featuring a blue screw-top cap and a solid blue label wrapped around the lower cylindrical body. The bottle has a tapered neck and a rounded base, typical of containers used for milk or water.","""[64.024, 188.614, 64.024]"""
001d8f96a18a49f2922d371afcca315e,rusty_scissors_01,"A pair of large, metal scissors with long, pointed blades. The object features a weathered texture with reddish-brown discoloration resembling rust or dried blood covering the blades and handles. The handles have standard finger loops connected by a central pivot. The design suggests a heavy-duty tool or a melee weapon prop.","""[0.277, 2.524, 4.359]"""
001f5b9d3b7d4210b0dee5139c664a89,stylized_pig_01,"A low-polygon 3D model of a pig featuring a light cream-colored body and a large, flat pink snout with two black nostrils. The object has small black eyes, pointed ears, short legs ending in pink hooves, and a distinct curled tail. The geometry is simplified and smooth, characteristic of assets designed for simulation environments or stylized video games.","""[8.133, 13.330, 20.498]"""
001fe8adb25a49d0b2650a5401dde019,mickey_mouse_lollipop_01,"A 3D model of a lollipop shaped like a Mickey Mouse head. The candy portion features a glossy, swirled texture with stripes of purple, blue, and cyan. It consists of a large central circle with two smaller circular ears on top. The candy is mounted on a thin, light pink stick.","""[3.567, 6.357, 0.347]"""
002122c2db5a48b383598fec645cb459,chrome_spider_hat_01,"A 3D model of a stylized spider with a highly reflective, silver metallic finish resembling chrome. The object features an oval-shaped body and eight segmented legs that curve downwards and end in sharp, pointed tips. The front of the spider displays four black, spherical eyes and is topped with a small black cylinder hat. The legs are arranged symmetrically on either side of the body. The overall appearance suggests a character model, possibly for a video game or animation, with a 'gentleman' or steampunk theme.","""[8.656, 5.883, 5.775]"""
0022a3197f9646acbb9041eff2d1f55c,wooden_wardrobe_01,"A tall, rustic wooden wardrobe or armoire made of light-colored wood, likely pine, featuring visible grain and knots. The upper section comprises two tall doors with round knobs. The lower section consists of a drawer bank with two smaller drawers side-by-side and a long drawer at the bottom. The piece is topped with a decorative cornice and rests on a plinth base. The superior view displays the top panel construction, which includes a frame with diagonal structural bracing.","""[121.800, 211.500, 61.400]"""
0022d2e01b014d328294b828e48defa1,voxel_terrain_chunk,"A voxel-based terrain chunk visualized through orthogonal projections. The object displays a subsurface cross-section revealing layers of grey stone and brown dirt containing various ore deposits, including copper (orange), coal (dark grey), and iron (white). The top-down view shows the surface layout with green vegetation and blue water bodies.","""[1.626, 1.000, 2.193]"""
0023717f4f564cc99f4ded70db04f590,vintage_kerosene_lantern_01,"A weathered, vintage-style kerosene lantern constructed from metal with a central glass globe. The lantern features a protective wire cage surrounding the glass, a sturdy arched handle for carrying, and a cylindrical fuel reservoir base. The top includes a chimney stack assembly. The surface exhibits significant rust and paint chipping, indicating an aged or distressed finish.","""[25.521, 39.297, 18.729]"""
00238df4d2ae48409888a8dc21e643a9,flagpole_argentina_01,"A vertical flagpole topped with a small finial, displaying the national flag of Argentina. The flag features horizontal light blue and white stripes and has a swallowtail cut at the fly end. The pole is a thin, cylindrical rod, appearing to be made of a light-colored material like metal or painted wood.","""[1.536, 3.009, 0.056]"""
0023b3edbc114be188ca9d8f729dfaaf,vintage_car_01,"A low-poly 3D model of a vintage automobile, resembling a Ford Model T. The vehicle features a cream-colored body with brown paneling, large dark spoked wheels, and a dark olive canvas convertible roof. The front view displays prominent yellow headlights and a dark grey radiator grille. The side view reveals a steering wheel, running boards, and the open-top design structure. The top view confirms the rectangular shape of the roof and the placement of the front fenders.","""[1.641, 1.988, 3.391]"""
0025c5e2333949feb1db259d4ff08dbe,unknown_object,Unrecognizable or abstract object.,"""[0.142, 0.150, 0.100]"""
0025d57953fc4c8a80a44e59294e6841,faceted_earth_gem_01,"A stylized 3D model of planet Earth shaped like a faceted gemstone or crystal. The object is a polyhedron with numerous flat, geometric faces that create a spherical volume. The surface is mapped with a realistic satellite texture showing continents, oceans, and polar ice caps. The material has a glossy, reflective finish, simulating glass or polished crystal. The views show different hemispheres, including the Americas, Australia, and the Arctic region.","""[1.902, 2.000, 2.000]"""
00286954e2d54db8bc7832cc8682b6ff,red_bed_01,"A red single bed with a matching red headboard and mattress base. Two white pillows are positioned at the head of the bed. A beige, textured blanket or quilt covers the majority of the mattress, featuring a fringed edge visible in the side view. The bed has a rectangular shape with rounded corners.","""[2.999, 1.138, 3.641]"""
002b5dcd1a7844b19c7ffa63a9b23c68,bathtub_modern_01,"A modern, freestanding bathtub with a glossy, pale blue finish. The object features an organic, asymmetrical shape with a deep, concave basin designed for bathing. The exterior is smooth and curved, lacking visible legs or a standard rectangular form, suggesting a sculptural design. The material appears to be a hard, polished substance like acrylic or ceramic.","""[422.181, 185.309, 410.331]"""
002be48987e54ac0924772d6a562eb51,tripod_music_stand_01,"A 3D model of a music stand featuring a black, tri-fold top panel with a grid-like texture. The stand is supported by a unique base consisting of three red, segmented, curved legs that resemble tentacles or mechanical pipes. These legs extend from a central black hub and terminate in flat, circular red bases with dark markings. A central vertical pole connects the top panel to the base structure. The materials appear to be a mix of matte black for the top and glossy red for the legs and bases.","""[1.920, 2.000, 1.737]"""
002e02c30121465c8a01bcb83b584ea5,white_pants_01,"A pair of white sweatpants featuring an elasticated waistband and matching elastic cuffs at the ankles. The fabric appears soft and slightly wrinkled, suggesting a cotton or synthetic blend material. The pants have a relaxed fit with side pockets visible in the frontal view.","""[70.362, 139.479, 40.827]"""
003199cc6ff2410cb2d8e6f8a9cbb163,red_fire_hydrant_01,"A vertical, red metal fire hydrant with a flanged base. The main barrel features a large, silver 'M' emblem on the front face. The top section includes a silver operating nut and two side nozzles capped with silver covers; a small chain is attached to the right nozzle cap. The object exhibits a weathered texture with visible rust and wear.","""[0.903, 1.001, 0.903]"""
003219b0bec442d29725847969e4b6bf,red_juice_bottle_01,"A red, translucent plastic bottle with a curvy, hourglass-shaped body, designed for holding liquid beverages like juice. The bottle features a wrap-around label with a green background, displaying nutritional facts in both English and French ('Nutrition Facts / Valeur Nutritive'), a barcode, and imagery of a strawberry, indicating a fruit flavor. It is topped with a red plastic screw cap featuring a textured, star-like pattern on its surface.","""[0.185, 0.575, 0.182]"""
0032696f5871429fbd0549d9628f812c,white_gift_box_green_ribbon,"A white, cuboid gift box wrapped with a bright green ribbon. The ribbon encircles the box vertically and horizontally, forming a cross pattern on the top surface where it is tied into a bow. The object is a 3D model with a matte white finish for the box and a slightly shinier green finish for the ribbon.","""[2.593, 2.926, 2.393]"""
0033322379a24798a6875a5cb2de54f5,raspberry_01,"A 3D model of a red raspberry. The object is an aggregate fruit composed of numerous small, rounded drupelets clustered together to form a roughly conical or spherical shape. It features a deep red color with subtle shading that highlights the individual segments. The superior view reveals a central hollow core, characteristic of raspberries where the receptacle remains attached to the plant. The surface texture appears slightly matte with specular highlights, simulating the skin of a fresh berry.","""[6.394, 6.543, 6.073]"""
003442052c724e6fb5f38b32a192933c,sheep_01,"A stylized, low-poly 3D model of a sheep. The object features a large, rounded white body with a matte finish, resembling wool. It has a distinct black head with small black eyes and two small black ears. Four thin black legs support the body, and a small, rounded white tail is attached to the rear. The geometry is simplified and blocky, typical of assets used in casual games or simulation environments.","""[3.049, 1.943, 1.306]"""
0034c300f743460c8c84bce3d81ff604,upholstered_bed_01,"A bed featuring a low-profile grey frame and a tall, upholstered headboard with a curved, scalloped top edge and button tufting. The bed is dressed with white linens and pillows. A grey nightstand is positioned adjacent to the headboard.","""[2.087, 1.214, 4.538]"""
00365fead4044f2a8ae896a68159625b,copper_wall_lantern_01,"A hexagonal wall-mounted lantern constructed from copper or bronze-colored metal. The fixture features a tiered, conical roof topped with a decorative finial, enclosing a hexagonal glass chamber with vertical metal supports. A mounting arm extends from the base, ending in a flat plate for wall attachment. The internal light source is illuminated, casting a bright glow through the glass panels.","""[4.186, 7.597, 4.514]"""
00380c3f5cf548c9846faf3c42dfd6db,unknown_object,Unrecognizable or abstract object.,"""[0.042, 0.063, 0.044]"""
0039218299e647d788844de8e1ef7cc2,terrain_patch_01,"A square, planar 3D mesh representing a slice of terrain. The top surface is textured with aerial imagery depicting a dense green forest, a strip of white snow or ice, and a tan agricultural field. The object is thin and flat, designed as a ground asset for a simulation environment.","""[4.009, 0.286, 4.392]"""
003ba3e54a524999a0fbbf446573d589,metal_rose_panel_01,"A square decorative architectural panel featuring a central, raised metallic rosette. The central design consists of a circular boss surrounded by eight curved, petal-like shapes radiating outwards in a symmetrical pattern. The background surface has a rough, stone-like texture, contrasting with the smooth, brushed metal appearance of the central relief. The object is a flat, square plaque with a low-relief sculpture in the center.","""[50.000, 50.000, 3.758]"""
003ebdf86df345d39dc166563229fb85,energy_soda_can_01,"A cylindrical aluminum beverage can, specifically labeled as ""James' Lemon & Lime Energy Soda"". The can features a dark blue rim and base with a green body. Two yellow rectangular panels on the side contain product information and a website URL. The top view shows a standard silver metallic pull-tab lid. The label indicates a volume of 12 fl oz (355 ml) and states ""No Artificial Colors"".","""[2.501, 3.756, 2.501]"""
003ed2834130466da3a51bb7fdd6bde5,unknown_object,Unrecognizable or abstract object.,"""[393.719, 1711.361, 1168.393]"""
00439fe1c7c24522bf408af0b2c155a9,silver_coin_01,"A silver-colored circular coin or medallion with a thin cylindrical profile. The face displays engraved botanical motifs, featuring a fern-like frond on the left and a conifer branch on the right, surrounding central script text. The object has a smooth metallic surface and a raised rim.","""[20.000, 19.999, 1.919]"""
0045c7d3543f467e808af1320f7fe252,glass_sphere_01,"A white, translucent spherical object, resembling a crystal ball or glass marble. The surface features a grid-like pattern of vertical and horizontal lines, suggesting a texture or refraction effect on a 3D model. The object is perfectly round and smooth, appearing as a generic geometric primitive used in simulation environments.","""[200.000, 200.000, 200.000]"""
0045e87262664927a3298f2ed0f640c1,toilet_seat_lid_01,"A white, oval-shaped toilet seat lid made of smooth, hard material such as plastic or ceramic. The object features a flat top surface and a slightly concave underside, with a uniform thickness around the rim. It is designed to cover a toilet bowl.","""[25.000, 35.000, 10.000]"""
0046f208ef8d4988ba7bb9d297f29ec7,stone_windmill_01,"A 3D model of a traditional tower windmill. The structure features a cylindrical base constructed from grey stone blocks, topped by a white-washed cylindrical section. Above this sits a wooden cap with a conical, orange-tiled roof. Four wooden sails extend from the top. A stone staircase leads up to a wooden door at the base level. The entire structure is situated on a circular patch of green grass.","""[34.580, 29.264, 34.771]"""
004746f9a00342298c89eab88c5203c5,wooden_log_snow_01,"A long, weathered wooden log or large branch lying horizontally. The object features a rough, dark bark texture and is partially covered with patches of white snow, which accumulates in crevices and along the top surface. It appears to be a natural forest element, resembling a fallen tree limb or section of a trunk.","""[47.048, 36.803, 47.487]"""
0048e8224b174b759771e39ff521ee2e,grey_urn_planter_01,"A grey, stone-textured urn planter featuring a classic bulbous body, a wide rim, and a square pedestal base. The planter is filled with a dense cluster of purple flowers resembling roses or peonies, accompanied by green foliage. The object functions as a decorative container for floral arrangements.","""[292.051, 362.963, 289.013]"""
004bef020bb34445b2b31e97552cd421,white_volkswagen_sedan,"A white Volkswagen sedan 3D model presented in frontal, lateral, and superior views. The vehicle features a distinct front grille with a central VW emblem, dark-tinted windows, and blue accent lights in the lower bumper area. The side profile reveals a four-door sedan body style with missing wheels, exposing the wheel arches and suspension components. The top view displays the roof structure, windshield, and side mirrors. The object appears to be a digital asset intended for simulation or visualization purposes.","""[2.002, 1.280, 4.418]"""
004d02243a5b4117afc4baa45eb1eba0,low_poly_elephant_01,"A low-poly 3D model of an elephant with dark grey skin and white tusks. The object features large, fan-shaped ears, a long trunk hanging downwards, and four thick, pillar-like legs. The geometry is faceted with visible polygon edges, indicating a stylized, low-resolution asset suitable for simulation or game environments.","""[1.261, 1.701, 2.451]"""
004fb4d72f6c4e55a15b9025a868d1a3,roasted_chicken_01,"A 3D model of a whole roasted chicken. The object features a plump, ovoid body with golden-brown, shiny skin that suggests it has been cooked. Two drumsticks protrude upwards from the rear, and two wings are folded tightly against the sides of the breast. The surface texture includes realistic details like slight charring and glistening highlights, indicating grease or roasting juices.","""[0.337, 0.210, 0.408]"""
005121da5ed340b4aedd168e33d56714,dark_grey_nightstand_01,"A dark grey, rectangular nightstand or side cabinet. The object features a flat, horizontal top surface that slightly overhangs the main body, supported by vertical legs at the corners. The front and side panels are flat and smooth with a semi-gloss finish, indicated by a bright central specular highlight. The surface texture appears to have a brushed or slightly scratched appearance, suggesting a metallic or painted material.","""[70.687, 52.085, 41.774]"""
0051724d6efa42de84aaf8467629160f,wicker_basket_chips_01,"A small, oval-shaped woven wicker basket with a twisted rim design. The basket is filled with golden potato chips or crisps that are resting on a sheet of silver foil. The entire assembly sits on a plain white circular plate.","""[1.987, 0.672, 1.987]"""
0052b71131614bddba4caac26c9998bf,stone_statue_01,"A grey stone statue of a humanoid figure, appearing to be draped in robes or a cloak, heavily overgrown with green vines and leaves. The figure has a tall, vertical form with one arm extended outward to the side. It resembles a weathered garden monument or a classical statue.","""[328.241, 362.383, 154.433]"""
005349b8ece7424984e8b1f224a8dfe3,white_mug_01,"A white cylindrical mug with a D-shaped handle attached to the side. The exterior surface is smooth and white, while the interior visible from the top view appears grey. The object has a flat base and a circular rim, typical of a standard drinking cup.","""[0.629, 0.473, 0.485]"""
0056220daa7f4eae850a582e8f5cc6ad,stylized_scream_mask_01,"A flat, head-shaped plaque or badge with rounded sides. The top surface features a stylized graphic of a yellow face with black hair and a red mouth, resembling a 'Scream' mask. The reverse side and edges are black. The object appears to be a 3D model of a prop or sign.","""[295.781, 42.000, 300.648]"""
0056880681c044cb9fe815a9eed0425d,rhino_model_01,"A white 3D model of a rhinoceros, appearing as a scan or a cast of a statue. The object features a bulky, quadrupedal body with thick, pillar-like legs and a prominent horn on the snout. The surface texture is smooth and uniform, lacking detailed skin wrinkles, which suggests a simplified mesh or a plaster-like material. The rear view reveals a short tail and wide hindquarters, while the superior view confirms the elongated body shape and the position of the ears and horn.","""[1.691, 0.726, 0.525]"""
0058d91949de484e820a046235487223,cardboard_box_01,"A rectangular cardboard box with open top flaps, serving as a container for a miniature furnished room. The front face of the box features white text reading ""Chef Colin"" and a drawing of a mustache. The interior contains a small-scale bedroom setup, including a bed with blue sheets, a desk with a computer and blue chair, a white wardrobe, and a brown dresser. The object appears to be a prop or a diorama-style container.","""[5.528, 6.157, 5.923]"""
005e3725b8d9484e94a71aeb9495aea6,elephant_01,"A grey 3D model of an elephant. The object features a large, bulky body supported by four thick, pillar-like legs. It has a long, flexible trunk curving downwards and large, fan-shaped ears characteristic of an African elephant. The surface texture simulates rough, grey skin. A tail with a tuft of hair is visible at the rear. The model is shown from a side profile, a top-down view of the head, and a frontal perspective showing the trunk and front legs.","""[1.547, 3.084, 4.566]"""
005f5630a54b442291aeb0a5d487353b,ceramic_bowl_01,"A shallow, round bowl made of a creamy white ceramic or porcelain material. It features a wide, flat rim and a gently sloping interior with visible concentric rings, suggesting it was thrown on a wheel or molded. The surface is smooth and slightly glossy.","""[78.915, 37.883, 80.307]"""
00602ef508784e5384665aacaaf1f3a0,hand_saw_01,"A hand saw featuring a long, rectangular, light blue metallic blade with a serrated edge along the right side. The handle is brown, resembling wood, and includes a rectangular cutout near the base of the blade for finger placement. The lateral view confirms the thin profile of the blade and handle.","""[0.269, 0.877, 0.026]"""
0060af6f4da24224a4770eea54685ecf,brown_armchair_01,"A brown upholstered armchair featuring rolled arms with a subtle patterned fabric and a high, rectangular backrest. The seat holds a dark red rectangular throw pillow. The chair is supported by four thin, grey, rectangular metal legs.","""[60.763, 61.715, 43.925]"""
00613a37109548a992c8b81238f941ae,kitchen_knife_01,A kitchen knife featuring a silver metallic blade and a dark blue or black handle. The blade is flat and tapers to a sharp point. The handle is rectangular with a slight curve at the end.,"""[37.941, 3.291, 6.562]"""
0061788e0741400c82289337a24af4f6,unknown_object,Unrecognizable or abstract object.,"""[9811.430, 17266.010, 9811.422]"""
0061cdbbceef476a98025f10e19f5d13,unknown_object,Unrecognizable or abstract object.,"""[2480.000, 755.000, 1360.000]"""
006373e3885b472cb5538fc570235fcf,wooden_glass_table_01,"A rectangular coffee table featuring a clear, transparent glass top. The base is constructed from dark wood with a visible grain texture, consisting of four sturdy, blocky rectangular legs positioned at the corners. A horizontal wooden shelf connects the legs near the bottom, providing structural support and a lower surface. The glass top slightly overhangs the wooden frame.","""[900.000, 353.865, 600.000]"""
006387f76f684e1dab80d0a4bb705809,wooden_bat_spiked_01,"A light-colored wooden baseball bat modified with numerous dark, metallic spikes or nails driven into the barrel end. The object features a standard tapered cylindrical shape with a handle on one end and a thick hitting surface on the other, which is heavily studded with sharp protrusions.","""[2.000, 0.232, 0.255]"""
00642d469eaa4b8f9a86abd68e1cc769,punk_sketchbook_01,"A rectangular sketchbook with a dark grey, textured cover featuring white line art of a robot and the stacked text ""PUNK SKETCH"". The book is bound at the top with reddish-brown, loop-style binding rings. The side view reveals a thick block of cream-colored pages. A small ""AZ SCHOOL"" logo is visible in the bottom right corner.","""[301.227, 31.258, 213.897]"""
00646d6f0c33406386a56a82b4b984e1,drill_press_01,"A green industrial drill press mounted on a tall, cabinet-style stand. The machine features a vertical column, a motor head with a drill chuck, and a flat work table. A brown gas cylinder is attached to the side of the stand, connected via a hose to the machine head. The stand includes a cabinet base with ventilation grilles on the side panel.","""[0.523, 1.190, 1.272]"""
0064add4992b426cb2f862e5875ebf6d,unknown_object,Unrecognizable or abstract object.,"""[0.154, 0.060, 0.156]"""
00668ccda7b841c1ab3ca69f303d1b1c,seashell_in_coral_01,"A spiral gastropod seashell featuring brown and white banding, nestled inside a cavity of a white, porous structure resembling coral or rock. The object is a composite natural element, combining a marine mollusk shell with a stone or reef base, likely intended as a prop for an underwater or coastal simulation environment.","""[37.064, 41.346, 33.563]"""
0068a53f561d4dccbaef45841107a42d,mitre_shell_01,"A 3D model of a mitre shell, characterized by its elongated, fusiform shape and high spire. The exterior surface features a creamy white base color overlaid with a distinct pattern of dark brown, zig-zagging lines that wrap around the whorls. The shell has a large, flared aperture on the right side with a smooth, pearlescent interior in shades of light peach and cream. The apex is pointed and located at the left end. The texture appears smooth and glossy, typical of marine gastropod shells.","""[4.031, 1.661, 1.380]"""
006c3cf0236e413292d9c2180e1b60ba,gold_key_01,"A stylized golden key with a large circular bow. A white, geometric, crystal-like spike pierces through the center of the bow. The shaft is a long, flat stem that terminates in a blade with two rectangular teeth on the right side.","""[17.709, 43.998, 16.863]"""
006f9ea413b0486b94e77db226de0e8d,wooden_gate_01,"A reddish-brown wooden gate composed of vertical planks with a central handle and latch mechanism. To the right, a section features a wire mesh grid. The gate is framed by a structure with a light-colored stone or brick base and side walls. The top view reveals a flat, concrete-like surface with a red trim along the edge. The structure serves as an entrance barrier, possibly situated at the top of a short staircase.","""[3.650, 2.781, 2.070]"""
0071593d2a654cf89bcf52402c266c4c,russian_banknote_50,"A 50 Russian Ruble banknote. Rectangular paper currency featuring the denomination ""50"" and Cyrillic text ""БИЛЕТ БАНКА РОССИИ"". Thin, flat object used as legal tender.","""[5.836, 0.008, 2.916]"""
00725d07417645c2a488a911baa51045,beige_bidet_01,"A beige, glossy ceramic bidet with a floor-standing design. The object features a wide, flat rim surrounding a deep basin with a central raised section. Two mounting holes are visible at the rear of the rim for faucet installation. The base is cylindrical and tapers slightly towards the bottom.","""[7.013, 6.813, 9.862]"""
