session_id,timestamp,sweep_type,repetition,prompt,model,db_size,retrieval_k,retrieval_top_n,semantic_input_tokens,semantic_output_tokens,semantic_time_s,retrieval_time_s,asset_input_tokens,asset_output_tokens,asset_time_s,layout_time_s,total_time_s,objects_spawned,output_json_file
fe9efdf2,2026-04-13T14:43:13,k_sweep,2,Create a Study Room,gpt-oss:20b,1000,10,5,608,246,5.53,4.146,3887,503,18.546,0.001,28.224,9,fe9efdf2.json
652e2ab3,2026-04-13T14:43:41,k_sweep,3,Create a Study Room,gpt-oss:20b,1000,10,5,823,233,7.467,4.152,3423,503,16.58,0.0,28.2,8,652e2ab3.json
7f88550a,2026-04-13T14:44:09,k_sweep,4,Create a Study Room,gpt-oss:20b,1000,10,5,683,392,6.738,4.218,3430,496,16.291,0.001,27.25,9,7f88550a.json
8754545c,2026-04-13T14:44:37,k_sweep,5,Create a Study Room,gpt-oss:20b,1000,10,5,719,364,6.884,4.18,3604,475,17.578,0.001,28.644,9,8754545c.json
5b21f4d3,2026-04-13T14:47:44,k_sweep,7,Create a Study Room,gpt-oss:20b,1000,10,5,594,362,6.901,4.288,2783,579,14.301,0.0,25.492,8,5b21f4d3.json
8d738ea5,2026-04-13T14:48:09,k_sweep,8,Create a Study Room,gpt-oss:20b,1000,10,5,666,359,6.341,4.248,2608,264,9.89,0.0,20.48,0,8d738ea5.json
5b92ebeb,2026-04-13T14:48:30,k_sweep,9,Create a Study Room,gpt-oss:20b,1000,10,5,571,412,6.204,4.323,3152,525,14.667,0.0,25.196,7,5b92ebeb.json
9f1ddf21,2026-04-13T14:49:31,k_sweep,1,Create a Study Room,gpt-oss:20b,1000,20,5,768,284,7.571,4.587,3188,498,16.892,0.001,29.05,7,9f1ddf21.json
90708f51,2026-04-13T14:50:00,k_sweep,2,Create a Study Room,gpt-oss:20b,1000,20,5,877,393,8.447,4.535,2989,302,11.627,0.0,24.611,0,90708f51.json
a39ba8bd,2026-04-13T14:50:24,k_sweep,3,Create a Study Room,gpt-oss:20b,1000,20,5,792,215,6.358,4.545,3192,420,16.404,0.001,27.308,7,a39ba8bd.json
f1f00ffc,2026-04-13T14:50:52,k_sweep,4,Create a Study Room,gpt-oss:20b,1000,20,5,522,250,4.457,4.593,3495,311,17.839,0.0,26.89,7,f1f00ffc.json
1bc998bb,2026-04-13T14:51:19,k_sweep,5,Create a Study Room,gpt-oss:20b,1000,20,5,1005,263,8.362,4.663,3772,528,18.075,0.0,31.103,10,1bc998bb.json
c9f3bd8c,2026-04-13T14:51:50,k_sweep,6,Create a Study Room,gpt-oss:20b,1000,20,5,780,282,7.61,4.636,3639,360,15.127,0.0,27.375,0,c9f3bd8c.json
caef199c,2026-04-13T14:52:17,k_sweep,7,Create a Study Room,gpt-oss:20b,1000,20,5,864,261,7.184,4.452,1598,633,23.559,0.0,35.197,5,caef199c.json
6ddf236e,2026-04-13T14:52:52,k_sweep,8,Create a Study Room,gpt-oss:20b,1000,20,5,656,251,6.109,4.568,3426,318,12.924,0.001,23.604,0,6ddf236e.json
ef439f74,2026-04-13T14:53:16,k_sweep,9,Create a Study Room,gpt-oss:20b,1000,20,5,720,404,7.21,4.501,3617,416,17.741,0.001,29.454,0,ef439f74.json
9c270a30,2026-04-13T14:53:45,k_sweep,10,Create a Study Room,gpt-oss:20b,1000,20,5,877,307,7.89,4.425,3109,261,14.085,0.0,26.401,0,9c270a30.json
deaf1e69,2026-04-13T14:54:12,k_sweep,1,Create a Study Room,gpt-oss:20b,1000,50,5,633,435,7.066,5.423,3525,458,17.058,0.0,29.548,9,deaf1e69.json
2ca9258f,2026-04-13T14:54:41,k_sweep,2,Create a Study Room,gpt-oss:20b,1000,50,5,758,275,6.648,5.584,3375,601,19.054,0.001,31.288,8,2ca9258f.json
ffa1b1a8,2026-04-13T14:55:13,k_sweep,3,Create a Study Room,gpt-oss:20b,1000,50,5,543,365,5.679,5.395,2872,402,15.577,0.001,26.652,7,ffa1b1a8.json
92bffdcc,2026-04-13T14:55:39,k_sweep,4,Create a Study Room,gpt-oss:20b,1000,50,5,618,392,6.497,5.349,3493,594,20.176,0.0,32.024,8,92bffdcc.json
e28d63f3,2026-04-13T14:56:46,k_sweep,6,Create a Study Room,gpt-oss:20b,1000,50,5,527,248,5.113,5.404,4096,1047,121.357,0.001,131.876,0,e28d63f3.json
08a90f95,2026-04-13T15:05:53,k_sweep,8,Create a Study Room,gpt-oss:20b,1000,50,5,896,276,8.909,5.696,1602,628,25.841,0.0,40.448,9,08a90f95.json
6e0cc17e,2026-04-13T15:06:34,k_sweep,9,Create a Study Room,gpt-oss:20b,1000,50,5,795,346,8.754,5.325,3124,266,16.172,0.0,30.253,1,6e0cc17e.json
4ed3fb37,2026-04-13T15:07:04,k_sweep,10,Create a Study Room,gpt-oss:20b,1000,50,5,547,426,6.003,5.787,4033,543,22.878,0.0,34.67,6,4ed3fb37.json
f8710788,2026-04-13T15:07:38,n_sweep,1,Create a Study Room,gpt-oss:20b,1000,20,1,579,230,5.372,4.625,1558,435,14.172,0.0,24.17,7,f8710788.json
2ec49d80,2026-04-13T15:08:03,n_sweep,2,Create a Study Room,gpt-oss:20b,1000,20,1,784,449,8.154,4.683,1428,431,12.493,0.0,25.332,6,2ec49d80.json
85f15ed1,2026-04-13T15:08:28,n_sweep,3,Create a Study Room,gpt-oss:20b,1000,20,1,503,378,5.476,4.461,1202,257,10.359,0.0,20.298,0,85f15ed1.json
3cf6da2f,2026-04-13T15:08:48,n_sweep,4,Create a Study Room,gpt-oss:20b,1000,20,1,925,367,8.611,4.424,1943,407,17.084,0.001,30.121,9,3cf6da2f.json
80035f98,2026-04-13T15:09:18,n_sweep,5,Create a Study Room,gpt-oss:20b,1000,20,1,815,246,6.652,4.543,1428,288,11.844,0.0,23.04,0,80035f98.json
d1821756,2026-04-13T15:09:41,n_sweep,6,Create a Study Room,gpt-oss:20b,1000,20,1,654,383,6.403,4.438,1527,369,13.32,0.0,24.162,8,d1821756.json
b3ce20e1,2026-04-13T15:10:06,n_sweep,7,Create a Study Room,gpt-oss:20b,1000,20,1,556,345,5.375,4.53,1263,560,12.895,0.001,22.802,4,b3ce20e1.json
953c734a,2026-04-13T15:10:52,n_sweep,9,Create a Study Room,gpt-oss:20b,1000,20,1,727,341,6.676,4.423,1289,399,11.701,0.001,22.802,0,953c734a.json
553a3f4d,2026-04-13T15:11:15,n_sweep,10,Create a Study Room,gpt-oss:20b,1000,20,1,1117,395,10.436,4.598,1165,380,10.406,0.001,25.441,9,553a3f4d.json
8660482e,2026-04-13T15:11:41,n_sweep,1,Create a Study Room,gpt-oss:20b,1000,20,3,575,184,4.25,4.456,1921,377,12.45,0.0,21.158,7,8660482e.json
3e4b488b,2026-04-13T15:12:02,n_sweep,2,Create a Study Room,gpt-oss:20b,1000,20,3,730,339,6.693,4.308,2252,382,14.147,0.001,25.151,0,3e4b488b.json
37b2fa31,2026-04-13T15:12:27,n_sweep,3,Create a Study Room,gpt-oss:20b,1000,20,3,655,450,7.025,4.437,3073,357,17.822,0.0,29.286,4,37b2fa31.json
19c176be,2026-04-13T15:12:56,n_sweep,4,Create a Study Room,gpt-oss:20b,1000,20,3,707,391,7.401,4.401,2273,444,12.182,0.0,23.986,0,19c176be.json
09eca7df,2026-04-13T15:13:20,n_sweep,5,Create a Study Room,gpt-oss:20b,1000,20,3,869,234,6.935,4.359,2734,527,19.142,0.001,30.437,7,09eca7df.json
0c4e3f81,2026-04-13T15:13:51,n_sweep,6,Create a Study Room,gpt-oss:20b,1000,20,3,685,373,6.752,4.375,2538,392,16.22,0.0,27.349,6,0c4e3f81.json
0ad8f78f,2026-04-13T15:14:42,n_sweep,8,Create a Study Room,gpt-oss:20b,1000,20,3,862,287,7.244,4.381,2235,364,11.194,0.001,22.821,0,0ad8f78f.json
113759d1,2026-04-13T15:15:05,n_sweep,9,Create a Study Room,gpt-oss:20b,1000,20,3,601,382,6.008,4.54,2131,259,10.809,0.0,21.359,0,113759d1.json
fbd5fd17,2026-04-13T15:15:26,n_sweep,10,Create a Study Room,gpt-oss:20b,1000,20,3,613,364,5.938,4.302,2416,551,16.564,0.001,26.807,8,fbd5fd17.json
f30954c0,2026-04-13T15:15:53,n_sweep,1,Create a Study Room,gpt-oss:20b,1000,20,5,876,415,8.457,4.624,3845,463,17.94,0.0,31.023,7,f30954c0.json
5605df33,2026-04-13T15:16:24,n_sweep,2,Create a Study Room,gpt-oss:20b,1000,20,5,852,412,9.773,4.369,3708,291,17.385,0.0,31.529,0,5605df33.json
d3bacd43,2026-04-13T15:16:56,n_sweep,3,Create a Study Room,gpt-oss:20b,1000,20,5,662,306,5.784,4.467,3086,451,17.545,0.001,27.797,7,d3bacd43.json
c8c3523c,2026-04-13T15:17:23,n_sweep,4,Create a Study Room,gpt-oss:20b,1000,20,5,1063,415,9.895,4.415,3889,493,18.848,0.0,33.159,0,c8c3523c.json
b5195a2e,2026-04-13T15:17:57,n_sweep,5,Create a Study Room,gpt-oss:20b,1000,20,5,805,395,8.906,4.496,2912,290,10.389,0.0,23.793,0,b5195a2e.json
351f16c4,2026-04-13T15:18:20,n_sweep,6,Create a Study Room,gpt-oss:20b,1000,20,5,746,349,6.852,4.464,2671,370,11.394,0.0,22.711,6,351f16c4.json
cb50e79b,2026-04-13T15:18:43,n_sweep,7,Create a Study Room,gpt-oss:20b,1000,20,5,802,463,8.255,4.661,3407,586,15.307,0.0,28.226,8,cb50e79b.json
ecd2d779,2026-04-13T15:19:11,n_sweep,8,Create a Study Room,gpt-oss:20b,1000,20,5,583,380,6.017,4.457,2708,380,11.913,0.001,22.388,0,ecd2d779.json
3a99e77c,2026-04-13T15:19:34,n_sweep,9,Create a Study Room,gpt-oss:20b,1000,20,5,1002,412,9.653,4.369,3559,443,17.485,0.0,31.508,7,3a99e77c.json
c6474132,2026-04-13T15:20:05,n_sweep,10,Create a Study Room,gpt-oss:20b,1000,20,5,771,424,7.727,4.46,3588,579,16.67,0.0,28.859,5,c6474132.json
ec06f981,2026-04-13T15:20:34,n_sweep,1,Create a Study Room,gpt-oss:20b,1000,20,10,888,380,9.845,4.414,4096,559,69.569,0.0,83.83,1,ec06f981.json
851466dd,2026-04-13T15:21:58,n_sweep,2,Create a Study Room,gpt-oss:20b,1000,20,10,899,396,9.746,4.573,1914,305,23.334,0.0,37.655,4,851466dd.json
92887985,2026-04-13T15:22:36,n_sweep,3,Create a Study Room,gpt-oss:20b,1000,20,10,875,273,7.552,4.54,817,69,11.796,0.0,23.89,1,92887985.json
2050b1a3,2026-04-13T15:22:59,n_sweep,4,Create a Study Room,gpt-oss:20b,1000,20,10,766,406,7.593,4.553,1852,83,20.524,0.0,32.672,0,2050b1a3.json
499f3dbd,2026-04-13T15:23:32,n_sweep,5,Create a Study Room,gpt-oss:20b,1000,20,10,859,350,7.967,4.42,1211,650,19.977,0.0,32.367,0,499f3dbd.json
580cc549,2026-04-13T15:24:04,n_sweep,6,Create a Study Room,gpt-oss:20b,1000,20,10,615,414,6.437,4.416,1427,453,20.095,0.0,30.95,0,580cc549.json
8a71b193,2026-04-13T15:24:35,n_sweep,7,Create a Study Room,gpt-oss:20b,1000,20,10,844,205,6.5,4.494,4096,632,167.12,0.0,178.115,2,8a71b193.json
b149961f,2026-04-13T15:27:34,n_sweep,8,Create a Study Room,gpt-oss:20b,1000,20,10,1098,286,10.838,4.716,4096,276,45.932,0.0,61.488,0,b149961f.json
bdcc2feb,2026-04-13T15:28:35,n_sweep,9,Create a Study Room,gpt-oss:20b,1000,20,10,860,247,8.113,4.564,689,391,13.438,0.0,26.117,0,bdcc2feb.json
